"ID","REF"
465,"1"
466,"5"
467,"1"
468,"1"
469,"4"
470,"3"
471,"1"
472,"1"
473,"1"
474,"1"
475,"1"
476,"1"
477,"6"
478,"5"
479,"1"
480,"3"
481,"1"
482,"4"
483,"1"
484,"1"
485,"1"
486,"1"
487,"1"
488,"1"
489,"3"
490,"5"
491,"1"
492,"1"
493,"1"
494,"4"
495,"5"
496,"1"
497,"1"
498,"1"
499,"1"
500,"5"
501,"1"
502,"1"
503,"1"
504,"1"
505,"1"
506,"1"
507,"1"
508,"1"
509,"1"
510,"3"
511,"1"
512,"1"
513,"1"
514,"1"
515,"1"
516,"5"
517,"1"
518,"1"
519,"1"
520,"1"
521,"1"
522,"3"
523,"5"
524,"1"
525,"1"
526,"1"
527,"4"
528,"4"
529,"6"
530,"3"
531,"1"
532,"1"
533,"1"
534,"1"
535,"1"
536,"1"
537,"1"
538,"1"
539,"1"
540,"1"
541,"3"
542,"4"
543,"4"
544,"1"
545,"1"
546,"1"
547,"1"
548,"4"
549,"3"
550,"3"
551,"6"
552,"3"
553,"6"
554,"6"
555,"1"
556,"6"
557,"1"
558,"2"
559,"3"
560,"6"
561,"1"
562,"6"
563,"4"
564,"1"
565,"3"
566,"3"
567,"1"
568,"1"
569,"1"
570,"1"
571,"1"
572,"1"
573,"1"
574,"1"
575,"1"
576,"1"
577,"1"
578,"4"
579,"3"
580,"3"
581,"3"
582,"1"
583,"4"
584,"4"
585,"4"
586,"4"
587,"4"
588,"4"
589,"4"
590,"4"
591,"4"
592,"4"
593,"4"
594,"6"
595,"4"
596,"3"
597,"4"
598,"6"
599,"1"
600,"4"
601,"3"
602,"4"
603,"1"
604,"3"
605,"6"
606,"3"
607,"3"
608,"4"
609,"1"
610,"1"
611,"1"
612,"1"
613,"1"
614,"1"
615,"1"
616,"3"
617,"3"
618,"1"
619,"3"
620,"4"
621,"6"
622,"6"
623,"1"
624,"1"
625,"1"
626,"1"
627,"6"
628,"1"
631,"1"
632,"1"
633,"1"
634,"1"
635,"1"
636,"1"
637,"1"
638,"1"
639,"1"
640,"1"
641,"1"
642,"6"
643,"6"
644,"6"
645,"3"
646,"4"
647,"3"
648,"3"
649,"4"
650,"1"
651,"1"
652,"1"
653,"1"
654,"1"
655,"1"
656,"1"
657,"3"
658,"3"
659,"1"
660,"1"
661,"1"
662,"1"
663,"1"
664,"1"
665,"1"
666,"1"
667,"1"
668,"1"
669,"1"
670,"1"
671,"1"
672,"1"
673,"1"
674,"1"
675,"1"
676,"1"
677,"1"
678,"1"
679,"3"
680,"1"
681,"1"
682,"3"
683,"1"
684,"1"
685,"1"
686,"1"
687,"1"
688,"1"
689,"1"
690,"1"
691,"1"
692,"1"
693,"1"
694,"1"
695,"1"
696,"1"
697,"3"
698,"4"
699,"4"
700,"1"
701,"1"
702,"1"
703,"1"
704,"1"
705,"1"
706,"1"
707,"1"
708,"4"
709,"4"
710,"3"
711,"3"
